title,drug,lng,lat,enrollment,status,locations,popuptext
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-70.276399,43.6531739,1600,"Active, not recruiting","Maine Medical Center, Portland, Maine, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Maine Medical Center, Portland, Maine, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-77.0347487,39.0147079,1600,"Active, not recruiting","Holy Cross Hospital, Silver Spring, Maryland, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Holy Cross Hospital, Silver Spring, Maryland, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-71.06278259999999,42.3495371,1600,"Active, not recruiting","Tufts Medical Center, Boston, Massachusetts, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Tufts Medical Center, Boston, Massachusetts, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-71.1074884,42.3361091,1600,"Active, not recruiting","Brigham & Women's Hospital and Harvard Medical School, Boston, Massachusetts, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Brigham & Women's Hospital and Harvard Medical School, Boston, Massachusetts, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-71.1049051,42.3397365,1600,"Active, not recruiting","Center for Virology and Vaccine Research, Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Center for Virology and Vaccine Research, Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-83.72787950000001,42.283286,1600,"Active, not recruiting","The University of Michigan Hospitals and Health Systems, Ann Arbor, Michigan, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />The University of Michigan Hospitals and Health Systems, Ann Arbor, Michigan, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-83.07581019999999,42.3635022,1600,"Active, not recruiting","Henry Ford Health System, Detroit, Michigan, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Henry Ford Health System, Detroit, Michigan, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-93.2615378,44.9722477,1600,"Active, not recruiting","Hennepin Healthcare, Minneapolis, Minnesota, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Hennepin Healthcare, Minneapolis, Minnesota, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-92.46688329999999,44.0226255,1600,"Active, not recruiting","Mayo Clinic, Rochester, Minnesota, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Mayo Clinic, Rochester, Minnesota, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-114.0000297,46.8755594,1600,"Active, not recruiting","Providence St Patrick Hospital and International Heart Institute of MT Foundation, Missoula, Montana, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Providence St Patrick Hospital and International Heart Institute of MT Foundation, Missoula, Montana, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-72.2729872,43.67536399999999,1600,"Active, not recruiting","Darmouth-Hitchhock Medical Center, Lebanon, New Hampshire, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Darmouth-Hitchhock Medical Center, Lebanon, New Hampshire, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-74.05648819999999,40.8840343,1600,"Active, not recruiting","Hackensack Medical Center, Hackensack, New Jersey, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Hackensack Medical Center, Hackensack, New Jersey, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-74.5952861,40.5683581,1600,"Active, not recruiting","Robert Wood Johnson University Hospital Somerset, Hillsborough, New Jersey, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Robert Wood Johnson University Hospital Somerset, Hillsborough, New Jersey, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-74.450131,40.4952121,1600,"Active, not recruiting","Robert Wood Johnson University Hospital Somerset, 1 RWJ Place, New Brunswick, New Jersey, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Robert Wood Johnson University Hospital Somerset, 1 RWJ Place, New Brunswick, New Jersey, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-74.2125193,40.7100492,1600,"Active, not recruiting","Robert Wood Johnson University Hospital Somerset, 201 Lyons Avenue, Newark, New Jersey, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Robert Wood Johnson University Hospital Somerset, 201 Lyons Avenue, Newark, New Jersey, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-74.1653704,40.9028953,1600,"Active, not recruiting","St. Joseph's University Medical Center, Paterson, New Jersey, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />St. Joseph's University Medical Center, Paterson, New Jersey, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-73.8463639,40.855993,1600,"Active, not recruiting","Jacobi Medical Center, Bronx, New York, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Jacobi Medical Center, Bronx, New York, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-73.9064045,40.8674032,1600,"Active, not recruiting","James J. Peters Veterans Administration Medical Center, Bronx, New York, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />James J. Peters Veterans Administration Medical Center, Bronx, New York, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-73.8166244,40.7003783,1600,"Active, not recruiting","Jamaica Hospital Medical Center, Jamaica, New York, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Jamaica Hospital Medical Center, Jamaica, New York, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-73.4451577,41.4054443,1600,"Active, not recruiting","Danbury Hospital, Lagrangeville, New York, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Danbury Hospital, Lagrangeville, New York, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-73.7013309,40.7752276,1600,"Active, not recruiting","North Shore University Hospital, Manhasset, New York, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />North Shore University Hospital, Manhasset, New York, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-73.70738279999999,40.7543773,1600,"Active, not recruiting","North Shore University Hospital, 270-05 76th Ave, New Hyde Park, New York, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />North Shore University Hospital, 270-05 76th Ave, New Hyde Park, New York, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-73.9533616,40.78986949999999,1600,"Active, not recruiting","Icahn School of Medicine at Mount Sinai, 350 East 17th Street, New York, New York, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Icahn School of Medicine at Mount Sinai, 350 East 17th Street, New York, New York, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-73.9533616,40.78986949999999,1600,"Active, not recruiting","Icahn School of Medicine at Mount Sinai, 1000 10th Avenue, New York, New York, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Icahn School of Medicine at Mount Sinai, 1000 10th Avenue, New York, New York, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-73.9533616,40.78986949999999,1600,"Active, not recruiting","Icahn School of Medicine at Mount Sinai, 440 West 114th St., New York, New York, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Icahn School of Medicine at Mount Sinai, 440 West 114th St., New York, New York, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-73.9533616,40.78986949999999,1600,"Active, not recruiting","Icahn School of Medicine at Mount Sinai, New York, New York, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Icahn School of Medicine at Mount Sinai, New York, New York, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-73.941459,40.8409549,1600,"Active, not recruiting","Columbia University Irving Medical Center, New York, New York, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Columbia University Irving Medical Center, New York, New York, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-73.9542869,40.7643076,1600,"Active, not recruiting","Weill Cornell Medical College/NYU Presbyterian Hospital, New York, New York, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Weill Cornell Medical College/NYU Presbyterian Hospital, New York, New York, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-78.9371331,36.0058487,1600,"Active, not recruiting","Duke University Medical Center, Durham, North Carolina, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Duke University Medical Center, Durham, North Carolina, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-81.6060645,41.5052505,1600,"Active, not recruiting","University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-122.8767439,45.5394714,1600,"Active, not recruiting","Kaiser Sunnyside Medical Center, 2875 NW Stucki Ave, Hillsboro, Oregon, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Kaiser Sunnyside Medical Center, 2875 NW Stucki Ave, Hillsboro, Oregon, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-122.6127272,45.5275562,1600,"Active, not recruiting","Providence Portland Medical Center, Portland, Oregon, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Providence Portland Medical Center, Portland, Oregon, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-122.771627,45.5104546,1600,"Active, not recruiting","Providence St. Vincent Medical Center, Portland, Oregon, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Providence St. Vincent Medical Center, Portland, Oregon, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-122.5601232,45.4314461,1600,"Active, not recruiting","Kaiser Sunnyside Medical Center, Portland, Oregon, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Kaiser Sunnyside Medical Center, Portland, Oregon, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-75.19388289999999,39.9501477,1600,"Active, not recruiting","Hospital of the University of Pennsylvania, 51 N. 31st Street, Philadelphia, Pennsylvania, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Hospital of the University of Pennsylvania, 51 N. 31st Street, Philadelphia, Pennsylvania, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-75.19388289999999,39.9501477,1600,"Active, not recruiting","Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-75.1507582,40.0050435,1600,"Active, not recruiting","Temple University Hospital, Philadelphia, Pennsylvania, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Temple University Hospital, Philadelphia, Pennsylvania, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-71.398257,41.851722,1600,"Active, not recruiting","The Miriam Hospital, Providence, Rhode Island, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />The Miriam Hospital, Providence, Rhode Island, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-81.0333789,34.0279493,1600,"Active, not recruiting","Prisma Health Richland Hospital, Columbia, South Carolina, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Prisma Health Richland Hospital, Columbia, South Carolina, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-82.4109998,34.818455,1600,"Active, not recruiting","Prisma Health Richland Hospital, 701 Grove Road, Greenville, South Carolina, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Prisma Health Richland Hospital, 701 Grove Road, Greenville, South Carolina, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-96.82346,32.7608903,1600,"Active, not recruiting","The Liver Institute of Methodist Dallas Medical Center, Dallas, Texas, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />The Liver Institute of Methodist Dallas Medical Center, Dallas, Texas, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-96.8350262,32.8086365,1600,"Active, not recruiting","UT Southwestern Medical Center Amelia Court, HIV Research Clinic, Dallas, Texas, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />UT Southwestern Medical Center Amelia Court, HIV Research Clinic, Dallas, Texas, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-96.77904799999999,32.7896805,1600,"Active, not recruiting","Baylor University Medical Center, Dallas, Texas, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Baylor University Medical Center, Dallas, Texas, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-96.8350262,32.8086365,1600,"Active, not recruiting","UT Southwestern Medical Center Amelia Court, HIV Research Clinic, 5201 Harry Hines Blvd., Dallas, Texas, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />UT Southwestern Medical Center Amelia Court, HIV Research Clinic, 5201 Harry Hines Blvd., Dallas, Texas, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-96.8419366,32.8173287,1600,"Active, not recruiting","UT Southwestern Medical Center Amelia Court, HIV Research Clinic, 6201 Harry Hines Blvd, Dallas, Texas, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />UT Southwestern Medical Center Amelia Court, HIV Research Clinic, 6201 Harry Hines Blvd, Dallas, Texas, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-97.345412,32.7296877,1600,"Active, not recruiting","Baylor University Medical Center, 1400 8th Ave, Fort Worth, Texas, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Baylor University Medical Center, 1400 8th Ave, Fort Worth, Texas, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-95.399568,29.7106626,1600,"Active, not recruiting","Houston Methodist Hospital, Houston, Texas, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Houston Methodist Hospital, Houston, Texas, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-97.3640532,31.0779405,1600,"Active, not recruiting","Baylor University Medical Center, 2401 S. 31st St., Temple, Texas, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Baylor University Medical Center, 2401 S. 31st St., Temple, Texas, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-111.8366784,40.77157160000001,1600,"Active, not recruiting","University of Utah Health, Salt Lake City, Utah, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />University of Utah Health, Salt Lake City, Utah, United States"
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,Remdesivir,-77.127521,38.8891114,1600,"Active, not recruiting","Virginia Hospital Center, Arlington, Virginia, United States","<b>Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment</b><br /><i>Active, not recruiting, n = 1600</i><br />Virginia Hospital Center, Arlington, Virginia, United States"
