Clinical Trial Title,NCT number,Trial Locations,lng,lat,Drug
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),NCT04292899,"Manchester University NHS Foundation Trust, Manchester, United Kingdom",-2.2277393,53.4607569,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),NCT04292899,"Manchester University NHS Foundation Trust, Manchester, United Kingdom",-2.2277393,53.4607569,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),NCT04292899,"Pennine Acute Hospitals NHS Trust, Manchester, United Kingdom",-2.2294865,53.5178824,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),NCT04292899,"Derriford Hospital, Plymouth, United Kingdom",-4.116408,50.4166994,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Severe Coronavirus Disease (COVID-19),NCT04292899,"Sheffield Teaching Hospitals, Sheffield, United Kingdom",-1.4923035,53.379171,Remdesivir
A Trial of Remdesivir in Adults With Mild and Moderate COVID-19,NCT04252664,"Jin Yin-tan hospital, Wuhan, Hubei, China",114.2868443,30.6668794,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Los Angeles Medical Center, 3340 E. La Palma Avenue, Anaheim, California, United States",-117.8441325,33.8520823,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Alta Bates Summit Medical Center, Berkeley, California, United States",-122.2688043,37.8642168,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Mills-Peninsula Medical Center, Burlingame, California, United States",-122.3824274,37.5923049,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Eden Medical Center, Castro Valley, California, United States",-122.0888289,37.6979825,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Los Angeles Medical Center, 9333 Imperial Highway, Downey, California, United States",-118.1288238,33.9191479,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Los Angeles Medical Center, 9961 Sierra Ave, Fontana, California, United States",-117.4323129,34.0723526,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"St Joseph Hospital Eureka, Fortuna, California, United States",-124.1424555,40.7839616,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Los Angeles Medical Center, 25825 S. Vermont Ave., Harbor City, California, United States",-118.2957816,33.7886375,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Los Angeles Medical Center, Los Angeles, California, United States",-118.293899,34.0984583,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Los Angeles Medical Center, 6041 Cadillac Ave., Los Angeles, California, United States",-118.3750021,34.0383728,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Los Angeles Medical Center, 5601 De Soto Avenue, Los Angeles, California, United States",-118.5896036,34.1709445,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Mission Hospital Regional Medical Center, Mission Viejo, California, United States",-117.6653709,33.5610031,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Los Angeles Medical Center,27300 Iris Avenue, Moreno Valley, California, United States",-117.186026,33.897404,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"El Camino Hospital, Mountain View, California, United States",-122.0795279,37.3691517,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Hoag Memorial Hospital Presbyterian, Newport Beach, California, United States",-117.9296357,33.624397,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Oakland Medical Center, Oakland, California, United States",-122.2582441,37.8235196,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Los Angeles Medical Center, 2295 S. Vineyard Avenue, Ontario, California, United States",-117.6086894,34.0324565,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"The Center for Cancer Prevention and Treatment at St. Joseph Hospital of Orange, Orange, California, United States",-117.86362,33.779675,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Los Angeles Medical Center,13651 Willard Street, Panorama City, California, United States",-118.4302294,34.2189257,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Los Angeles Medical Center, 10800 Magnolia Avenue, Riverside, California, United States",-117.4694322,33.905076,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Sutter Medical Center Sacramento, One Medical Plaza, Roseville, California, United States",-121.2495341,38.765635,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Sutter Medical Center Sacramento, Sacramento, California, United States",-121.4694362,38.5713948,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Los Angeles Medical Center, 4647 Zion Avenue, San Diego, California, United States",-117.0951878,32.7913395,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Los Angeles Medical Center, 9455 Clairemont Mesa Blvd, San Diego, California, United States",-117.1251884,32.8297116,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Oakland Medical Center, 1200 El Camino Real, San Francisco, California, United States",-122.4385597,37.6587814,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"California Pacific Medical Center-Infectious Disease Associates Medical Group, San Francisco, California, United States",-122.432128,37.7905249,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Oakland Medical Center, 2425 Geary Blvd, San Francisco, California, United States",-122.4429971,37.7824144,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Oakland Medical Center, 250 Hospital Parkway, Suite 850, San Jose, California, United States",-121.8002512,37.2398041,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Oakland Medical Center, 2500 Merced St, San Leandro, California, United States",-122.1647052,37.7064867,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Oakland Medical Center, 700 Lawrence Expressway, Santa Clara, California, United States",-121.9988333,37.3360472,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Providence St. Johns Medical Center, Santa Monica, California, United States",-118.4796445,34.0307739,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Sutter Santa Rosa Regional Hospital, Santa Rosa, California, United States",-122.7510442,38.4952463,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Stanford Hospital, Stanford, California, United States",-122.1758669,37.4347593,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"University of Colorado Denver, University of Colorado Hospital, Aurora, Colorado, United States",-104.8375727,39.7452818,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"SCL Health St. Joseph Hospital, 1375 East 19th Ave, Denver, Colorado, United States",-104.9715971,39.7464498,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"SCL Health St. Joseph Hospital, Denver, Colorado, United States",-104.9715971,39.7464498,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Rose Medical Center, Denver, Colorado, United States",-104.9335815,39.7319823,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"SCL Health St. Joseph Hospital, 200 Exempla Circle., Lafayette, Colorado, United States",-105.086874,39.9699702,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Yale University, New Haven, Connecticut, United States",-72.9223431,41.3163244,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Permanente Hawaii Moanalua Medical Center, Honolulu, Hawaii, United States",-157.9000128,21.3632544,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Cook County General Hospital, Chicago, Illinois, United States",-87.67369,41.8728476,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Rush University Medical Center, Chicago, Illinois, United States",-87.6674637,41.8747917,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"University of Chicago, Chicago, Illinois, United States",-87.5987133,41.7886079,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"IU Health Methodist Hospital, Indianapolis, Indiana, United States",-86.1633559,39.7903409,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"University of Iowa Hospitals & Clinics, Iowa City, Iowa, United States",-91.547979,41.658974,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Tulane University, New Orleans, Louisiana, United States",-90.1203167,29.9407282,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Maine Medical Center, Portland, Maine, United States",-70.276399,43.6531739,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Holy Cross Hospital, Silver Spring, Maryland, United States",-77.0347487,39.0147079,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Tufts Medical Center, Boston, Massachusetts, United States",-71.0627826,42.3495371,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Brigham & Women's Hospital and Harvard Medical School, Boston, Massachusetts, United States",-71.1074884,42.3361091,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Center for Virology and Vaccine Research, Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States",-71.1049051,42.3397365,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"The University of Michigan Hospitals and Health Systems, Ann Arbor, Michigan, United States",-83.7278795,42.283286,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Henry Ford Health System, Detroit, Michigan, United States",-83.0758102,42.3635022,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Hennepin Healthcare, Minneapolis, Minnesota, United States",-93.2615378,44.9722477,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Mayo Clinic, Rochester, Minnesota, United States",-92.4668833,44.0226255,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Providence St Patrick Hospital and International Heart Institute of MT Foundation, Missoula, Montana, United States",-114.0000297,46.8755594,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Darmouth-Hitchhock Medical Center, Lebanon, New Hampshire, United States",-72.2729872,43.675364,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Hackensack Medical Center, Hackensack, New Jersey, United States",-74.0564882,40.8840343,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Robert Wood Johnson University Hospital Somerset, Hillsborough, New Jersey, United States",-74.5952861,40.5683581,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Robert Wood Johnson University Hospital Somerset, 1 RWJ Place, New Brunswick, New Jersey, United States",-74.450131,40.4952121,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Robert Wood Johnson University Hospital Somerset, 201 Lyons Avenue, Newark, New Jersey, United States",-74.2125193,40.7100492,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"St. Joseph's University Medical Center, Paterson, New Jersey, United States",-74.1653704,40.9028953,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Jacobi Medical Center, Bronx, New York, United States",-73.8463639,40.855993,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"James J. Peters Veterans Administration Medical Center, Bronx, New York, United States",-73.9064045,40.8674032,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Jamaica Hospital Medical Center, Jamaica, New York, United States",-73.8166244,40.7003783,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Danbury Hospital, Lagrangeville, New York, United States",-73.4451577,41.4054443,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"North Shore University Hospital, Manhasset, New York, United States",-73.7013309,40.7752276,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"North Shore University Hospital, 270-05 76th Ave, New Hyde Park, New York, United States",-73.7073828,40.7543773,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Icahn School of Medicine at Mount Sinai, 350 East 17th Street, New York, New York, United States",-73.9533616,40.7898695,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Icahn School of Medicine at Mount Sinai, 1000 10th Avenue, New York, New York, United States",-73.9533616,40.7898695,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Icahn School of Medicine at Mount Sinai, 440 West 114th St., New York, New York, United States",-73.9533616,40.7898695,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Icahn School of Medicine at Mount Sinai, New York, New York, United States",-73.9533616,40.7898695,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Columbia University Irving Medical Center, New York, New York, United States",-73.941459,40.8409549,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Weill Cornell Medical College/NYU Presbyterian Hospital, New York, New York, United States",-73.9542869,40.7643076,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Duke University Medical Center, Durham, North Carolina, United States",-78.9371331,36.0058487,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States",-81.6060645,41.5052505,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Sunnyside Medical Center, 2875 NW Stucki Ave, Hillsboro, Oregon, United States",-122.8767439,45.5394714,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Providence Portland Medical Center, Portland, Oregon, United States",-122.6127272,45.5275562,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Providence St. Vincent Medical Center, Portland, Oregon, United States",-122.771627,45.5104546,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Kaiser Sunnyside Medical Center, Portland, Oregon, United States",-122.5601232,45.4314461,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Hospital of the University of Pennsylvania, 51 N. 31st Street, Philadelphia, Pennsylvania, United States",-75.1938829,39.9501477,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States",-75.1938829,39.9501477,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Temple University Hospital, Philadelphia, Pennsylvania, United States",-75.1507582,40.0050435,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"The Miriam Hospital, Providence, Rhode Island, United States",-71.398257,41.851722,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Prisma Health Richland Hospital, Columbia, South Carolina, United States",-81.0333789,34.0279493,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Prisma Health Richland Hospital, 701 Grove Road, Greenville, South Carolina, United States",-82.4109998,34.818455,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"The Liver Institute of Methodist Dallas Medical Center, Dallas, Texas, United States",-96.82346,32.7608903,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"UT Southwestern Medical Center Amelia Court, HIV Research Clinic, Dallas, Texas, United States",-96.8350262,32.8086365,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Baylor University Medical Center, Dallas, Texas, United States",-96.779048,32.7896805,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"UT Southwestern Medical Center Amelia Court, HIV Research Clinic, 5201 Harry Hines Blvd., Dallas, Texas, United States",-96.8350262,32.8086365,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"UT Southwestern Medical Center Amelia Court, HIV Research Clinic, 6201 Harry Hines Blvd, Dallas, Texas, United States",-96.8419366,32.8173287,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Baylor University Medical Center, 1400 8th Ave, Fort Worth, Texas, United States",-97.345412,32.7296877,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Houston Methodist Hospital, Houston, Texas, United States",-95.399568,29.7106626,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Baylor University Medical Center, 2401 S. 31st St., Temple, Texas, United States",-97.3640532,31.0779405,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"University of Utah Health, Salt Lake City, Utah, United States",-111.8366784,40.7715716,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Virginia Hospital Center, Arlington, Virginia, United States",-77.127521,38.8891114,Remdesivir
Study to Evaluate the Safety and Antiviral Activity of Remdesivir (GS-5734™) in Participants With Moderate Coronavirus Disease (COVID-19) Compared to Standard of Care Treatment,NCT04292730,"Inova Fairfax Hospital, Falls Church, Virginia, United States",-77.2281251,38.8573966,Remdesivir
